id,name,region,pop,gdp
LBN,Lebanon,Asia,6825442,33383246858
LBR,Liberia,Africa,5057677,2950000000
LBY,Libya,Africa,6871287,25418461532
LCA,Saint Lucia,America,183629,1703364241
LIE,Liechtenstein,Europe,37918,6839145107
LKA,Sri Lanka,Asia,21919000,80706600229
LSO,Lesotho,Africa,2142252,1844510138
LTU,Lithuania,Europe,2794700,55887271833
LUX,Luxembourg,Europe,632275,73263982103
LVA,Latvia,Europe,1901548,33505185229
MAC,Macau,Asia,640446,55153707949
MAR,Morocco,Africa,36910558,112870591694
MCO,Monaco,Europe,38967,7423709840
MDA,Moldova,Europe,2617820,11914040905
MDG,Madagascar,Africa,27691019,13720634105
MDV,Maldives,Asia,540542,4030203167
MEX,Mexico,America,128932753,1076163316175
MHL,Marshall Islands,Oceania,58791,239462200
MKD,Macedonia,Europe,2083380,12266949805
MLI,Mali,Africa,20250834,17393761397
MLT,Malta,Europe,525285,14647384608
MMR,Myanmar,Asia,54409794,76185586097
MNE,Montenegro,Europe,621718,4778582336
MNG,Mongolia,Asia,3278292,13137128659
MOZ,Mozambique,Africa,31255435,14021421106
MRT,Mauritania,Africa,4649660,7778525643
MUS,Mauritius,Africa,1265740,10914065306
MWI,Malawi,Africa,19129955,11961848553
MYS,Malaysia,Asia,32365998,336664444247
NAM,Namibia,Africa,2540916,10699926683
NCL,New Caledonia,Oceania,,
NER,Niger,Africa,24206636,13678234008
NGA,Nigeria,Africa,206139587,432293776262
NIC,Nicaragua,America,6624554,12621476264
NLD,Netherlands,Europe,17441139,913865395790
NOR,Norway,Europe,5379475,362522347110
NPL,Nepal,Asia,29136808,33657175561
NRU,Nauru,Oceania,10764,118223430
NZL,New Zealand,Oceania,5084300,210886315369
OMN,Oman,Asia,4974992,76331518669
PAK,Pakistan,Asia,220892331,263686552686
PAN,Panama,America,4314768,52938100000
PER,Peru,America,32971846,202014363787
PHL,Philippines,Asia,109581085,361489354350
PLW,Palau,Oceania,18001,268354900
PNG,Papua New Guinea,Oceania,8947027,23591523025
POL,Poland,Europe,37950802,594164690895
PRI,Puerto Rico,America,3194034,103138300000
PRK,North Korea,Asia,,
PRT,Portugal,Europe,10305564,231226743398
PRY,Paraguay,America,7132530,35304238230
PSE,Palestine,Asia,4803269,15561300000
QAT,Qatar,Asia,2881060,146373588867
ROU,Romania,Europe,19286123,248715551367
RUS,Russia,Europe,144104080,1483497784868
RWA,Rwanda,Africa,12952209,10333991892
SAH,Western Sahara,Africa,,
SAU,Saudi Arabia,Asia,34813867,700117873249
SDN,Sudan,Africa,43849269,26110829190
SEN,Senegal,Africa,16743930,24910904236
SGP,Singapore,Asia,5685807,339998477930
SLB,Solomon Islands,Oceania,686878,1551245526
SLE,Sierra Leone,Africa,7976985,3865018883
SLV,El Salvador,America,6486201,24638720000
SMR,San Marino,Europe,33864,1616369646
SOM,Somalia,Africa,15893219,4917607582
SRB,Serbia,Europe,6908224,52960134079
SSD,South Sudan,Africa,10715657,11997800760
STP,Sao Tome and Principe,Africa,219161,472914470
SUR,Suriname,America,586634,3807922874
SVK,Slovakia,Europe,5458827,104574146248
SVN,Slovenia,Europe,2100126,53589609581
SWE,Sweden,Europe,10353442,541063604340
SWZ,Swaziland,Africa,1160164,3962493093
SYC,Seychelles,Africa,98462,1124937500
SYR,Syria,Asia,19878257,40405006007
TCD,Chad,Africa,16425859,10093118570
TGO,Togo,Africa,8278737,7574635241
THA,Thailand,Asia,69799978,501794961925
TJK,Tajikistan,Asia,9537642,8194150302
TKM,Turkmenistan,Asia,5942094,45231428571
TLS,East Timor,Asia,1318442,1821000000
TON,Tonga,Oceania,104497,512350059
TTO,Trinidad and Tobago,America,1399491,21529824769
TUN,Tunisia,Africa,11818618,39235672868
TUR,Turkey,Asia,84339067,720101212394
TUV,Tuvalu,Oceania,11792,48855550
TWN,Taiwan,Asia,,
TZA,Tanzania,Africa,59734213,62409748427
UGA,Uganda,Africa,45741000,37372032558
UKR,Ukraine,Europe,44134693,155582008717
URY,Uruguay,America,3473727,53628827440
USA,United States of America,America,329484123,20936600000000
UZB,Uzbekistan,Asia,34232050,57707189945
VAT,Vatican,Europe,,
VCT,Saint Vincent and the Grenadines,America,110947,809681481
VEN,Venezuela,America,30042973,482359318768
VNM,Vietnam,Asia,97338583,271158442059
VUT,Vanuatu,Oceania,307150,854793640
WSM,Samoa,Oceania,198410,807027244
YEM,Yemen,Asia,28498683,23486269599
ZAF,South Africa,Africa,59308690,301923639270
ZMB,Zambia,Africa,18383956,19320053859
ZWE,Zimbabwe,Africa,14862927,16768513443
